調査語,認知率(全体),理解率(全体),使用率(全体),認知率(60歳以上),理解率(60歳以上),使用率(60歳以上),調査種類,調査回,調査時期
インタラクティブ,20.8,8.5,5.1,7.2,3.4,1.5,Ｂ(1),1,H14年12月
インディケータ,18.3,7.7,4.1,7.1,2.4,1.3,Ｂ(1),5,H15年2月
インテグレーション,20.4,6.6,3.5,11.3,4.3,1.2,Ｂ(2),1,H16年5月
インパクト,89.2,75.1,66.6,73.5,52.9,39.1,Ｂ(1),1,H14年12月
インフォームド・コンセント,43.8,23.2,12.3,30.4,12.7,6.6,Ａ,,H14年10月
インプット,77.3,56.2,50.4,54.1,31.7,24.1,Ｂ(1),7,H15年10月
インフラ,46.3,18.9,9.5,32.2,8.6,2.9,Ａ,,H14年10月
ウェブサイト,38.1,21.5,16.2,11.8,4.3,2.7,Ａ,,H14年10月
ＡＯ（エーオー）入試,28,17.4,11.6,10.9,5.1,3.8,Ｃ,,H16年1月
エコステーション,36,17.4,7.4,18.3,9.3,3.3,Ｂ(2),1,H16年5月
エコツアー,43.3,20.3,8.2,37.7,13.6,6.3,Ｂ(2),2,H16年8月
エコロジー,82.6,50,31.6,60.5,27.2,14.8,Ｂ(2),1,H16年5月
エルニーニョ,70,51,28.3,55.3,38.1,20.8,Ｂ(2),1,H16年5月
エンターテインメント,79.6,51.7,33.2,53.7,23.6,11.5,Ｂ(1),7,H15年10月
エンパワーメント,11.3,5.7,3,5.7,2.3,0,Ａ,,H14年10月
エンフォースメント,7.9,3.4,2.3,5.9,1.1,0.5,Ａ,,H14年10月
オーガナイザー,28.7,11.3,4.6,22.3,8.4,3.9,Ｂ(2),2,H16年8月
オーセンティシティ,4.3,2.2,1,1.8,1.1,0.4,Ｂ(1),5,H15年2月
オーソライズ,8.2,4.4,2.6,5.1,3.1,1.1,Ｂ(1),6,H15年9月
オーディション,91.9,82.2,57.3,78.8,60.3,35,Ｂ(1),1,H14年12月
オーナーシップ,46.8,21.9,8.4,32,12.2,3.8,Ｂ(1),5,H15年2月
オープンスペース,62.2,37.6,22.4,35.2,17.7,7.8,Ｂ(1),4,H15年2月
オピニオン,36.7,18.1,9.3,27.9,12.8,5,Ａ,,H14年10月
オピニオンリーダー,30,16.8,7.6,15.9,6.9,3.9,Ｂ(1),4,H15年2月
オブザーバー,80.8,46.8,33,76,43.6,28.5,Ａ,,H14年10月
オフサイトセンター,14.1,4.2,0.9,15.4,3.9,0.6,Ｂ(2),2,H16年8月
オペレーション,83.3,52.9,34.7,63.5,27.5,15.6,Ｂ(1),7,H15年10月
オンデマンド,18,7.2,3.6,4.4,2.6,2.1,Ｂ(1),2,H14年12月
オンブズパースン,8.2,3,0.9,4.5,2,0.7,Ｂ(1),6,H15年9月
オンブズマン,61.4,34.3,13.2,49.3,26.5,9.8,Ｂ(1),3,H15年1月
オンライン,93.7,63.4,49.3,86.7,53,32,Ａ,,H14年10月
ガイドライン,89.5,56,35.7,80.7,45.9,25.4,Ａ,,H14年10月
カウンセリング,92.9,72.7,56.8,82.2,54,37.9,Ａ,,H14年10月
カウンターパート,10.3,5.3,2.9,10.3,4.1,1.4,Ｂ(1),4,H15年2月
カウント,85.1,75.4,63.6,63.5,51.3,39.8,Ｂ(1),2,H14年12月
カスタマイズ,40.1,21.8,13.4,8.9,4.6,1.8,Ｂ(1),7,H15年10月
カスタムメード,30.6,15.3,6.6,20.1,8,2.6,Ｂ(2),2,H16年8月
ガバナンス,17.3,6.8,2.9,12.1,3.4,0.6,Ａ,,H14年10月
カムフラージュ,81.2,69.4,55.4,61,47,33.9,Ｂ(1),7,H15年10月
カリキュラム,81.7,65.7,50.7,57.1,37,25.8,Ｂ(1),2,H14年12月
カンファレンス,25.5,11.1,7,8.9,4.3,2.2,Ｂ(1),6,H15年9月
キャッシュフロー,29.5,15.9,9.2,17.6,8.4,4,Ｂ(1),5,H15年2月
キャッチアップ,36.8,13.6,6.6,21.4,5.3,5.3,Ａ,,H14年10月
ギャップ,86.8,76.9,68.5,69.9,53.1,39.3,Ｂ(1),1,H14年12月
キャピタルゲイン,29,14.2,7,22.9,8.9,5,Ａ,,H14年10月
キャンセル,94.7,88.7,84.2,85.8,75.2,67.7,Ｂ(1),7,H15年10月
キャンペーン,95.8,82.2,69.9,90.1,64.6,49.7,Ａ,,H14年10月
キュレーター,4.9,1.5,0.5,1.6,0.2,0,Ｂ(1),6,H15年9月
クーリングオフ,80.5,66.1,43,58.8,42.6,27.8,Ｂ(2),1,H16年5月
クライアント,61.4,41.4,25.6,35.1,19,12.8,Ｂ(2),2,H16年8月
グランドデザイン,36.2,14.3,7.8,38.7,11.6,7.2,Ａ,,H14年10月
クリア,87.9,79.1,67.7,71.8,58,43.5,Ｂ(1),1,H14年12月
グループホーム,43.2,27.5,14.2,40.3,24.9,12.6,Ｂ(2),1,H16年5月
グローバリゼーション,47.1,19.3,9.5,31.6,10.9,2.3,Ａ,,H14年10月
グローバル,77.4,41.3,27,56.7,18.7,11.2,Ａ,,H14年10月
クローン,89.7,71.9,46,75.9,48.9,30.7,Ｂ(1),2,H14年12月
ケア,90.7,75.6,65.1,80.4,58.1,49.7,Ａ,,H14年10月
ケアハウス,80,51.8,34.1,74.5,46.3,33.8,Ｂ(2),2,H16年8月
ケアマネジャー,72.9,47.2,26.6,57.8,34.9,20,Ｂ(1),5,H15年2月
ケアワーカー,64.9,40.8,23.8,60,34.8,23.2,Ｂ(2),2,H16年8月
ケーススタディ,32.1,18.1,12,17.1,9.4,7.2,Ａ,,H14年10月
ケースワーカー,76.2,49,32.8,71.6,42.2,30.7,Ｂ(2),2,H16年8月
ゲノム,41.2,18.8,7,24.6,9.4,2.5,Ｂ(1),4,H15年2月
コア,41.5,24.7,14.2,17.6,7.5,4.3,Ａ,,H14年10月
コージェネレーション,21,8.9,4.6,20.1,7.4,3,Ｂ(2),2,H16年8月
コーディネーター,88,62.7,47.3,74.6,38.1,28.7,Ａ,,H14年10月
コーディネート,88,72.9,60.2,72.1,47.5,33,Ａ,,H14年10月
コーポラティブ,11,5.4,2.2,7.6,3.5,1.5,Ｂ(2),2,H16年8月
コーポレート・ガバナンス,9.3,3.4,1.8,6,2.2,0.7,Ｂ(1),6,H15年9月
コスト,88.6,74.8,66.4,77,57.5,49.4,Ａ,,H14年10月
コミック,87.3,69.7,44.8,65.5,43.4,21.5,Ｂ(1),3,H15年1月
コミット,26.4,15.5,8.5,18.7,9.6,4.9,Ｂ(1),1,H14年12月
コミットメント,17.7,9.2,4.6,9.4,5.2,2.3,Ｂ(1),2,H14年12月
コミュニケ,55.1,36.6,22.2,45.9,28.8,17.3,Ｂ(1),2,H14年12月
コミュニティ,87,57.7,43,73.3,40.1,30.5,Ａ,,H14年10月
コメンテーター,80.3,60.4,28.2,58.4,35.8,16.2,Ｂ(1),3,H15年1月
コモン・アジェンダ,6.4,2.5,1,3.2,1.4,0.9,Ｂ(1),3,H15年1月
コラボレーション,43.8,18,11.3,12.1,2.9,1.1,Ａ,,H14年10月
コレクション,92.8,85.5,74.3,82,67.4,54.1,Ｂ(1),2,H14年12月
コンサルタント,92.2,72.1,54,81.5,54.3,39.6,Ｂ(1),2,H14年12月
コンセプト,69.2,40.2,27.4,42.2,14.4,9.6,Ａ,,H14年10月
コンセンサス,47.5,24,15.9,43,22.9,12.3,Ａ,,H14年10月
コンソーシアム,10.4,4.1,1.3,5.6,2.2,0,Ａ,,H14年10月
コンテンツ,49.6,23,13.9,22.7,8.8,4.4,Ａ,,H14年10月
コンテンポラリー,29.3,10.8,5.1,9.1,3.6,1.3,Ｂ(1),5,H15年2月
コンファレンス,25.8,12.1,5.5,9.4,3.4,2.1,Ｂ(1),4,H15年2月
コンプライアンス,9.7,5.7,4.7,3.1,1.6,0.7,Ｂ(1),6,H15年9月
コンベンション,53.1,29.8,16.2,30.5,13.3,6.2,Ｂ(1),7,H15年10月
コンポスト,25.2,15.9,9.8,23.3,13.4,8.4,Ｂ(2),1,H16年5月
サーベイランス,13.2,6.4,2.8,8.3,3.8,1.9,Ｂ(1),1,H14年12月
サイト,53.1,34.4,30.6,20.6,7.8,5.6,Ｂ(1),6,H15年9月
サテライト,70.3,30.3,16.7,55.2,14.4,8.8,Ａ,,H14年10月
サバイバル,85.4,66.1,43.5,68.5,42.8,25.5,Ｂ(2),1,H16年5月
サプライサイド,17,6.6,2.5,13,4.8,1.8,Ｂ(1),3,H15年1月
サプリメント,72.9,50.2,40.8,41.8,19.2,11.9,Ｂ(1),6,H15年9月
サポーター,93.4,81.3,65.6,81.7,59.5,39.8,Ｂ(1),2,H14年12月
サポート,92.7,81.8,67.2,81.1,61.8,42.5,Ｂ(1),1,H14年12月
サマリー,17,11.6,8.2,4.6,1.7,0.6,Ａ,,H14年10月
サムターン,31.5,20.9,10.9,20.6,9.9,4.1,Ｂ(2),1,H16年5月
サンプル,96,87.5,78.7,90.4,74.9,63.6,Ａ,,H14年10月
シーズ,18.6,9.8,6.1,10.8,6.3,4,Ｂ(1),2,H14年12月
シェア,66.3,50.9,38.9,49.7,35.2,24.6,Ａ,,H14年10月
ジェンダー,18.1,10,5.3,8.3,5,2.8,Ａ,,H14年10月
ジェンダーフリー,14.6,9.2,3.9,4.7,3.6,1.3,Ｂ(1),5,H15年2月
シックハウス,63.4,48.5,24.6,41.1,28.5,12.8,Ｂ(1),3,H15年1月
シナリオ,91.9,78.6,49.8,77.2,56.6,31.3,Ｂ(1),3,H15年1月
シフト,80.7,60.2,50.7,52.9,35.1,24.1,Ａ,,H14年10月
シミュレーション,81.3,58.3,43.6,60.4,27.8,17.6,Ａ,,H14年10月
ジャンクフード,35.7,23.5,14.5,5.3,1.8,0.5,Ｂ(1),7,H15年10月
ショートステイ,72,59.5,38.9,59.8,48.5,32.9,Ｂ(1),4,H15年2月
シラバス,8.5,4.5,3.2,2.1,1.1,0.5,Ｂ(1),7,H15年10月
シンクタンク,54.7,31.8,15.5,41.2,25.3,13.4,Ｂ(1),1,H14年12月
シンポジウム,86.1,60.8,36.7,74.7,49.5,28.2,Ｂ(1),1,H14年12月
スカラーシップ,15.8,8.9,4.4,7.6,3.4,1.6,Ｂ(1),4,H15年2月
スキーム,19.6,10.4,5,14.9,7.5,3.4,Ａ,,H14年10月
スキル,45.2,28,19.4,14,7.1,4.6,Ｂ(1),4,H15年2月
スクーリング,48.6,32.4,17.7,41.3,24.6,11.2,Ａ,,H14年10月
スクールカウンセラー,77.5,58.1,20.9,56.6,36.3,10.5,Ｂ(1),3,H15年1月
スクリーニング,31.9,18.5,9.4,28.3,13.9,8,Ａ,,H14年10月
スケールメリット,25.7,13.4,8.3,21.5,9.9,6.1,Ａ,,H14年10月
スタートアップ,26.9,13.3,9,17.3,7.1,2.4,Ｂ(2),2,H16年8月
スタッフ,93.4,83.4,70.9,83.3,67.8,48.3,Ａ,,H14年10月
スタンス,49.8,32,25.3,31.1,15.7,12.7,Ｃ,,H16年1月
スタンス,62.5,37.3,27.7,40,16.4,11.3,Ｂ(1),5,H15年2月
ステレオタイプ,47,27.8,16.1,26.2,10.7,5.1,Ｂ(1),6,H15年9月
ストイック,37,23.1,13.8,11,4.1,2.8,Ｂ(1),7,H15年10月
ストックヤード,31.2,17.4,9,17.2,10.6,5.5,Ｂ(1),1,H14年12月
ストレス,97.4,92.6,90.6,94.1,82.9,80.2,Ａ,,H14年10月
スペック,24.5,16.2,11.9,7.8,3.7,2.3,Ｂ(1),7,H15年10月
セーフガード,62.2,34.1,15.5,37.1,16.4,6.7,Ｂ(1),5,H15年2月
セーフティネット,55.9,30.9,13.9,33.3,17.2,3.4,Ａ,,H14年10月
セカンドオピニオン,30.8,15.8,6.8,16.8,6.9,3,Ｂ(1),4,H15年2月
セキュリティー,82.1,65.6,48.7,57,35.8,20.7,Ａ,,H14年10月
セクシュアル・ハラスメント,81.8,72.5,42.7,56.4,46.1,19.2,Ｂ(1),3,H15年1月
セクター,67.6,35,20.1,55.2,27.6,17.7,Ａ,,H14年10月
セットバック,28.2,14.3,9.3,19.8,10.1,6.4,Ｂ(1),4,H15年2月
セルフヘルプ,34.3,17.4,5.2,28.4,15.2,4.1,Ｂ(2),1,H16年5月
ゼロエミッション,12.7,6.7,3.2,5.4,3,1.6,Ｂ(1),2,H14年12月
センサス,17.4,9.2,5.2,12.4,3.9,3.2,Ｂ(1),7,H15年10月
センシティブ,26.4,12,7.3,11,5.6,3.2,Ｂ(2),2,H16年8月
ソーシャルワーカー,64.8,38.5,18.9,49.6,26.7,13.2,Ｂ(2),1,H16年5月
ソフト,89.9,58.6,57.6,70.6,30.4,24.6,Ｃ,,H16年1月
ソフトウェア,81.9,62.5,50.9,61.2,36,24.8,Ｂ(1),7,H15年10月
ソフトランディング,29.6,14.1,8.2,26.8,12.3,7.4,Ｂ(2),2,H16年8月
ソリューション,32.7,14,8.2,12.3,4.5,2.9,Ｂ(1),6,H15年9月
ターミナルケア,38.7,16.8,9,34.6,12.1,6.3,Ｂ(2),2,H16年8月
ダイナミズム,28.5,14.6,6.5,13.8,6.4,2.9,Ｂ(1),5,H15年2月
タイムラグ,32.3,22,14,14,8.5,4.5,Ｂ(1),1,H14年12月
タウンミーティング,44.1,23.7,11.5,29.2,15.9,6,Ｂ(1),4,H15年2月
ダウンロード,58.4,40.6,35,17.3,8.2,5.3,Ｂ(1),5,H15年2月
タスク,33.1,19,12.2,11,5.4,3.7,Ｂ(1),2,H14年12月
タスクフォース,10.4,4.9,3.6,6.4,3.7,2.1,Ａ,,H14年10月
ダンピング,69.6,48.8,30.5,70.1,51.1,29.3,Ａ,,H14年10月
チョイス,71.1,55,41.4,36.7,20.2,11.7,Ｂ(1),7,H15年10月
ツール,54.6,40.9,27.3,26.7,18.7,9.8,Ｂ(1),3,H15年1月
ＤＶ（ディーブィ）,51.2,35.6,25.2,30.6,13.9,8.6,Ｃ,,H16年1月
デイサービス,87.9,77.2,60.6,82.8,73.2,62.2,Ｂ(1),1,H14年12月
ディスク,81.8,55.5,53.2,51.4,22.8,18.2,Ｃ,,H16年1月
ディベート,42.8,30,17.3,19.6,12.8,6.8,Ｂ(1),3,H15年1月
ディレクトリ,28,15.2,9.4,8.7,4.8,3.2,Ｂ(1),3,H15年1月
データ,77.2,65.5,57.6,56.2,41.2,30.4,Ｂ(1),6,H15年9月
データベース,70.3,45.6,31.9,39.3,21.5,11.7,Ｂ(1),2,H14年12月
テーマ,96.8,88.2,80.1,91.1,74.9,60.3,Ａ,,H14年10月
テクノポリス,65.4,27.1,13.3,45.3,13.8,6.7,Ｂ(1),5,H15年2月
デジタル,90.6,68.1,62.6,75.2,42.8,35.9,Ｂ(1),4,H15年2月
デジタル・アーカイブ,20.3,9,4.7,11.7,2.8,1.1,Ａ,,H14年10月
デジタルディバイド,20.2,8.8,5.9,9.3,3.1,0.9,Ｂ(1),5,H15年2月
デバイス,29.4,14.5,9.9,8.9,4,2.2,Ｂ(1),5,H15年2月
デビットカード,43.2,27,12.6,21.4,10.7,3.9,Ｂ(2),1,H16年5月
デフォルト,25.9,13.4,8.2,8.7,3.8,1.8,Ｂ(1),6,H15年9月
デフォルト,31.7,19.3,16.5,11.6,4.8,4.3,Ｃ,,H16年1月
デポジット,29.8,17.2,8.6,18.1,9.9,4.5,Ｂ(2),1,H16年5月
デリバティブ,31.3,17.2,7.9,21.2,11.2,5.5,Ｂ(1),3,H15年1月
デリバリー,71.2,46.7,31.3,44.8,19.3,11.6,Ａ,,H14年10月
テレワーク,39.5,21.1,9.9,19.8,9.2,3,Ｂ(1),4,H15年2月
ドキュメント,94.9,77.9,56,88.2,62.6,43.3,Ａ,,H14年10月
ドクトリン,15.7,6.9,2.4,13.4,6.7,2.2,Ｂ(1),6,H15年9月
トップダウン,39.6,24.2,15.3,27.5,15.9,8.9,Ｂ(1),6,H15年9月
ドナー,85.9,68.9,37.5,68.2,45.3,21.3,Ｂ(1),5,H15年2月
ドメスティック・バイオレンス,67.2,48,20,37.9,22.6,8.2,Ｂ(1),3,H15年1月
トラウマ,80,57.1,44.7,56.7,29.7,20.6,Ｂ(2),2,H16年8月
トラブル,96.2,92.3,86.4,89.2,81.1,70.7,Ｂ(1),1,H14年12月
トリアージ,4,2,1.1,2.1,0.2,0,Ｂ(2),1,H16年5月
トレーサビリティ,8,6.1,3.9,3.4,0.6,0,Ａ,,H14年10月
トレード・オフ,40.9,21.3,7.7,36.9,16.6,7.5,Ａ,,H14年10月
トレンド,75.6,53,39.1,49.7,25.7,15.1,Ａ,,H14年10月
ナノテクノロジー,39.6,19.1,8,20.8,7.6,3.8,Ｂ(1),6,H15年9月
ニーズ,85,64.9,50.7,69.1,43.6,30.9,Ａ,,H14年10月
ネグレクト,22.1,12.4,7.1,12.3,7.6,3.9,Ｂ(2),2,H16年8月
ネゴシエーション,27.6,16.5,7.7,12.3,8.2,4.8,Ｂ(1),3,H15年1月
ネック,61.2,44.5,38.9,42.8,24.1,18,Ｃ,,H16年1月
ネット,85.3,60.3,55.8,59.2,23.8,18.2,Ｃ,,H16年1月
ネットオークション,73.7,60,39.9,42,25.7,11.9,Ｂ(1),7,H15年10月
ネットワーク,92.6,81.4,64.1,80.9,63.9,43.5,Ｂ(1),1,H14年12月
ノウハウ,83.8,67.7,55.2,63.8,48.3,37.4,Ａ,,H14年10月
ノーマライゼーション,26.5,12.2,5.9,16.8,5,1.7,Ａ,,H14年10月
ノンステップバス,56.6,45.4,24.3,44,32.1,19.4,Ｂ(1),2,H14年12月
ノンフィクション,88.8,75.7,55.6,70.7,50.1,33.3,Ｂ(1),2,H14年12月
バーチャル,62.5,38.9,25.5,28.7,11.6,6.1,Ａ,,H14年10月
バーチャル・リアリティー,61.3,34.8,17.1,25.3,9.8,2.9,Ａ,,H14年10月
ハード,79.8,53.4,51.6,53.4,25.1,20,Ｃ,,H16年1月
ハードウェア,68.1,47.5,33,43.9,24.1,17.6,Ａ,,H14年10月
パートナーシップ,81.4,55,34.4,70.9,41.3,22.9,Ａ,,H14年10月
ハーモナイゼーション,12.3,5.8,2.7,7,3,1.4,Ｂ(1),2,H14年12月
バイオ,68.9,45.3,31,45.3,24.6,15.2,Ｃ,,H16年1月
バイオテクノロジー,80.8,54.8,34.7,57.9,32.4,18.4,Ｂ(1),4,H15年2月
バイオマス,19.3,9.1,3.3,16.7,8.9,3.9,Ｂ(1),3,H15年1月
ハイテク,89.6,77.1,64.1,73.5,55.4,42.5,Ｂ(1),1,H14年12月
ハイブリッド,71.1,47.1,29.8,45.3,23.7,13,Ｂ(2),1,H16年5月
ハザードマップ,34.6,20.3,9.2,19.8,10.4,4.9,Ｂ(1),5,H15年2月
ハッカー,71.8,54.7,30.4,44.7,27.2,13.2,Ｂ(1),3,H15年1月
バックアップ,63.2,46.7,41.5,33.2,18.7,14.2,Ｃ,,H16年1月
バックアップ,84.3,70.6,55.1,70.1,52.4,36.9,Ａ,,H14年10月
バックオフィス,18.1,7.8,3.4,9.9,5,1.1,Ａ,,H14年10月
ハッピー,92.3,86.8,74.8,81.4,72.5,55.3,Ｂ(1),7,H15年10月
パフォーマンス,92.7,76.2,57.9,81,53.6,31.8,Ａ,,H14年10月
パブリック,60,34.6,22.5,40.9,21,15.5,Ａ,,H14年10月
パブリック・インボルブメント,6.8,3.3,1,3,1.4,0.7,Ｂ(1),4,H15年2月
パブリック・コメント,25.4,12.5,3.8,18.7,8,3.7,Ｂ(1),3,H15年1月
パラサイト・シングル,46.2,32,15.2,22.7,11.1,5.3,Ｂ(1),5,H15年2月
バリアフリー,85.5,72.7,56.4,69,52.9,38.5,Ａ,,H14年10月
ハローワーク,90.4,80.6,58.5,77,63.4,44.2,Ｂ(2),1,H16年5月
ハンディキャップ,84.1,74,56,70.4,54.1,41.2,Ｂ(2),1,H16年5月
ヒアリング,84.5,71.7,49.4,67.9,48.1,26.7,Ａ,,H14年10月
ピーク,89.7,77.4,71.6,77.9,59.7,49.7,Ａ,,H14年10月
ヒートアイランド,39.4,25.9,12.2,21.7,9.4,5.1,Ｂ(1),6,H15年9月
ヒエラルキー,12.3,7.2,4.4,3.7,1.8,1.1,Ｂ(1),7,H15年10月
ビオガーデン,14.8,8.1,3.3,11.1,5.3,2.5,Ｂ(2),1,H16年5月
ビオトープ,13.6,7.8,3.6,3.6,1.6,0.4,Ｂ(1),6,H15年9月
ビジネスモデル,46.4,24.7,11.7,34,14.5,6,Ｂ(1),4,H15年2月
ビジョン,84.1,61.6,45,70.4,43,28.5,Ａ,,H14年10月
ピッキング,76.8,62.8,38.3,53.9,40,22.6,Ｂ(1),3,H15年1月
ピンポイント,57.7,37.7,22.8,28.9,14.1,6.7,Ｂ(1),6,H15年9月
ファイナンス,73,42.3,24.6,54.9,24.4,14.4,Ｂ(1),5,H15年2月
フィードバック,52.5,31,22.6,29.3,16.6,11,Ａ,,H14年10月
フィランソロピー,5,1.9,0.7,4.1,1.7,0.9,Ｂ(2),2,H16年8月
フィルタリング,13.3,7.3,3.7,5.3,3.2,1.3,Ｂ(1),1,H14年12月
フェローシップ,13.1,7.1,2.6,8.1,4.5,1.7,Ｂ(1),1,H14年12月
フォーラム,77.6,46.8,30.6,59.4,31.6,19.7,Ｂ(1),1,H14年12月
フォローアップ,58.2,38.4,24.5,36.2,20.1,12.6,Ａ,,H14年10月
プライオリティー,12.9,7.6,4.9,4.5,2.5,1.6,Ｂ(1),6,H15年9月
プライド,89.7,84.3,78.4,74.5,65.8,57.6,Ｂ(1),7,H15年10月
プライバシー,97.1,91.9,87.6,91.6,81.7,76.3,Ｂ(1),2,H14年12月
プライマリーケア,16,7.8,3.6,10.6,5.8,2.6,Ｂ(2),2,H16年8月
ブリーフィング,9.3,5.7,2.8,3.6,1.6,1.3,Ｂ(1),6,H15年9月
フリーランス,23.8,12.9,5.9,15.2,8,4.1,Ｂ(2),2,H16年8月
プルサーマル,35.5,18,7.9,24,11.1,4.2,Ｂ(1),5,H15年2月
フルタイム,90.7,82.7,67.1,77,65.5,41.4,Ａ,,H14年10月
ブレークスルー,13.3,7.9,4.6,4.2,2.4,1.3,Ｂ(1),5,H15年2月
フレームワーク,23.8,14,6.8,22.5,10.7,3.7,Ａ,,H14年10月
プレゼンス,36.7,23.5,11.2,20.3,12.6,6.2,Ｂ(1),3,H15年1月
プレゼンテーション,78.1,50.8,29.8,55.1,27.3,12.8,Ａ,,H14年10月
フレックスタイム,54.8,43.9,31.5,27.2,19.4,11.5,Ｂ(1),2,H14年12月
ブロードバンド,62.1,36.5,25.8,28.5,12.2,6,Ｂ(1),4,H15年2月
プログラム,87.8,61.7,55.1,67.6,31.6,25.1,Ｃ,,H16年1月
プロジェクト,92.9,78.2,56.4,82.2,60.3,38.5,Ａ,,H14年10月
プロトタイプ,24,14.3,8.9,6.6,3.3,2.1,Ｂ(1),2,H14年12月
プロバイダ,62.6,40.6,32,27.8,15.2,9.7,Ｂ(1),4,H15年2月
プロパガンダ,29.3,16.4,8.3,13.8,6.4,3,Ｂ(1),7,H15年10月
フロンガス,89.8,75.2,55.4,78.4,59.7,42.2,Ｂ(2),1,H16年5月
フロンティア,69,40.7,22.6,49.2,26.3,13.4,Ａ,,H14年10月
ペイオフ,80.9,59,36.4,67.1,48.1,29.8,Ｂ(2),1,H16年5月
ペーパーレス,31.4,22.4,13.9,15.9,9.9,4.1,Ｂ(1),4,H15年2月
ペナルティー,79.6,69.2,57,54.8,39.9,31.2,Ｂ(1),7,H15年10月
ベンチャー,79,47.5,31.2,64.6,31.5,19.3,Ａ,,H14年10月
ボイコット,89.2,81.4,65.2,75.2,62.4,45.9,Ｂ(1),7,H15年10月
ボーダーレス,51.6,32.5,17,27.6,15.5,6.9,Ａ,,H14年10月
ポータビリティー,8.6,3.6,0.9,1.6,1.1,0,Ｂ(1),6,H15年9月
ポータルサイト,10.7,5.3,3,2,0.9,0.2,Ｂ(1),6,H15年9月
ポートフォリオ,14.3,8.1,5.2,5.5,2.1,1.6,Ｂ(1),7,H15年10月
ホームページ,93.8,82.6,67.5,84.5,62.6,45.5,Ａ,,H14年10月
ホームヘルパー,95.7,85.9,71.5,92,76.6,68.6,Ｂ(2),2,H16年8月
ポジショニング,50.3,33.5,20.2,22.7,9.9,5,Ｂ(1),7,H15年10月
ポジティブ,58.6,40.1,28.9,23.1,12.5,8.1,Ｂ(1),1,H14年12月
ポストドクター,16.1,7.9,2.8,12.4,3.6,1.3,Ｂ(1),5,H15年2月
